pair,wall_ms,superpoint_ms,matcher_ms,geometry_ms,degenerate
96,123.777,88.284,33.129,2.35,0
97,117.505,86.232,28.888,2.37,0
98,125.763,91.488,31.878,2.381,0
99,123.522,88.387,32.729,2.392,0
100,124.642,89.09,33.229,2.307,0
101,124.053,87.812,33.86,2.353,0
102,124.336,90.052,31.925,2.344,0
103,125.168,89.566,33.243,2.343,0
104,123.649,88.448,32.843,2.342,0
105,123.784,89.515,31.913,2.341,0
106,120.664,85.482,32.732,2.436,0
107,122.53,87.118,33.045,2.353,0
108,96.4,60.514,33.463,2.355,0
109,90.96,64.278,24.321,2.34,0
110,86.809,74.652,9.815,2.318,0
111,111.512,97.202,11.959,2.32,0
112,98.276,80.565,14.018,3.616,0
113,99.244,63.452,33.276,2.434,0
114,97.314,72.997,21.551,2.723,0
115,93.133,80.678,9.998,2.422,0
116,101.782,86.082,11.775,3.839,0
117,81.918,69.108,10.228,2.542,0
118,117.84,96.805,17.37,3.55,0
119,90.79,68.004,20.16,2.561,0
120,108.875,94.694,11.138,2.983,0
121,113.853,81.054,30.066,2.677,0
122,98.55,81.724,14.119,2.622,0
123,109.808,94.637,12.229,2.884,0
124,98.226,81.969,13.504,2.699,0
125,117.061,98.531,14.589,3.836,0
126,126.983,87.04,35.073,4.737,0
127,135.668,103.254,27.337,4.947,0
128,119.944,103.38,13.394,3.073,0
129,109.781,91.111,15.844,2.684,0
130,131.776,103.265,23.434,4.949,0
131,150.081,110.362,34.833,4.746,0
132,146.992,103.857,38.089,4.822,0
133,146.344,112.844,28.58,4.798,0
134,143.914,113.373,25.67,4.725,0
135,150.031,115.358,29.578,4.963,0
136,160.416,108.347,47.039,4.824,0
137,135.138,104.086,26.531,4.437,0
138,155.621,119.3,31.534,4.666,0
139,143.356,108.053,30.523,4.691,0
140,146.329,104.455,37.164,4.565,0
141,135.194,103.674,26.848,4.575,0
142,156.548,118.589,33.07,4.763,0
143,149.764,105.037,39.292,5.216,0
144,163.297,110.504,48.003,4.666,0
145,143.036,106.689,31.381,4.827,0
146,152.633,120.27,27.429,4.803,0
147,151.744,117.282,29.383,4.919,0
148,157.263,111.027,41.583,4.499,0
149,146.959,110.675,30.551,5.611,0
150,153.152,117.219,30.739,5.021,0
151,157.261,114.372,37.936,4.802,0
152,162.874,115.653,42.306,4.784,0
