pair,wall_ms,superpoint_ms,matcher_ms,geometry_ms,degenerate
160,105.009,81.857,18.446,4.602,0
161,109.391,87.145,17.319,4.804,0
162,109.034,85.192,19.262,4.494,0
163,105.102,78.955,21.445,4.615,0
164,104.364,79.72,19.958,4.596,0
165,111.418,85.646,20.777,4.878,0
166,129.684,104.859,20.035,4.685,0
167,115.468,92.288,18.545,4.521,0
168,120.554,93.696,21.931,4.814,0
169,113.216,89.82,18.743,4.535,0
170,115.666,89.451,21.335,4.74,0
171,116.88,89.153,22.868,4.731,0
172,117.261,89.561,22.944,4.648,0
173,116.77,92.881,18.956,4.773,0
174,122.748,94.324,23.335,4.937,0
175,131.288,107.216,19.157,4.81,0
176,125.386,98.909,21.809,4.524,0
177,116.558,92.067,19.755,4.612,0
178,116.548,90.292,21.015,5.102,0
179,120.332,93.397,21.953,4.876,0
180,111.564,84.882,22.025,4.575,0
181,93.302,81.915,8.734,2.559,0
182,79.177,69.591,6.865,2.659,0
183,78.256,68.682,6.96,2.576,0
184,72.401,63.095,6.75,2.517,0
185,80.257,70.191,7.402,2.62,0
186,72.647,63.615,6.467,2.531,0
187,82.605,66.3,13.244,3.015,0
188,106.68,85.154,18.894,2.583,0
189,108.014,68.304,37.134,2.493,0
190,109.915,69.99,37.317,2.508,0
191,110.465,71.711,36.149,2.514,0
192,114.528,73.499,38.439,2.483,0
193,92.466,80.703,9.156,2.566,0
194,112.661,96.746,12.694,3.167,0
195,108.781,91.367,14.264,3.097,0
196,91.675,79.366,9.617,2.641,0
197,110.857,93.833,13.227,3.695,0
198,123.519,81.427,38.965,3.061,0
199,101.261,88.053,10.311,2.848,0
200,109.264,97.132,8.91,3.153,0
201,110.572,97.425,10.396,2.683,0
202,153.1,117.761,30.354,4.853,0
