pair,wall_ms,superpoint_ms,mambaglue_ms,geometry_ms,degenerate
86,307.943,211.975,79.03,16.853,0
87,306.256,211.332,78.086,16.748,0
88,306.426,211.753,77.929,16.663,0
89,306.918,212.105,78.003,16.729,0
90,307.548,212.863,77.798,16.805,0
91,307.877,212.557,78.617,16.615,0
92,307.151,212.036,78.143,16.891,0
93,306.624,211.949,77.828,16.757,0
94,309.578,214.909,77.877,16.712,0
95,308.204,213.9,77.422,16.8,0
96,308.529,214.093,77.746,16.611,0
97,307.679,212.785,78.176,16.638,0
98,307.892,213.316,77.779,16.718,0
99,309.072,214.27,77.935,16.789,0
100,310.62,213.637,80.188,16.709,0
101,312.432,214.955,80.706,16.682,0
102,307.116,212.756,77.814,16.465,0
103,307.98,213.121,77.973,16.8,0
104,312.244,217.351,77.823,16.988,0
105,306.916,212.097,77.867,16.871,0
106,308.129,213.275,78.012,16.758,0
107,306.833,212.284,77.6,16.868,0
108,307.021,212.444,77.744,16.749,0
109,308.4,213.564,78.098,16.647,0
110,306.211,211.313,77.99,16.82,0
111,308.062,213.371,77.818,16.793,0
112,307.926,213.319,77.922,16.604,0
113,307.832,213.066,78.009,16.677,0
114,307.228,212.595,77.758,16.794,0
115,307.264,212.181,78.178,16.826,0
116,307.907,212.813,78.272,16.742,0
117,306.647,212.218,77.623,16.724,0
118,307.576,212.55,78.113,16.833,0
119,307.759,212.23,78.722,16.727,0
120,310.681,214.516,79.405,16.677,0
121,309.557,215.258,77.531,16.688,0
122,309.698,214.746,78.104,16.761,0
123,309.723,215.307,77.727,16.609,0
124,309.572,215.136,77.579,16.778,0
125,309.423,214.456,78.109,16.77,0
126,307.871,212.936,77.969,16.884,0
127,310.151,215.08,77.779,17.214,0
128,306.987,212.117,78.055,16.719,0
129,307.808,212.752,78.196,16.784,0
130,307.354,212.476,77.996,16.803,0
131,307.968,212.73,78.623,16.529,0
132,308.088,213.219,78.076,16.713,0
133,306.531,211.876,77.869,16.705,0
134,307.771,212.787,78.104,16.801,0
135,307.673,211.935,77.827,17.832,0
136,307.737,213.406,77.646,16.605,0
137,307.974,213.442,77.693,16.751,0
138,306.791,212.453,77.481,16.774,0
139,308.519,213.323,78.335,16.781,0
140,306.485,212.011,77.684,16.71,0
141,307.516,213.062,77.765,16.61,0
142,308.053,213.215,78.158,16.593,0
143,307.447,212.892,77.792,16.683,0
144,307.661,212.972,77.835,16.767,0
145,307.82,212.741,78.144,16.853,0
